company,car_model,about_car,price,offer,previous_price,downpayment,EMI
2013 Hyundai i10ASTA 1.2 AT KAPPA2 WITH SUNROOF Automatic,ASTA 1.2 AT KAPPA2 WITH SUNROOF Automatic,"30,624 km3rd OwnerPetrol","₹398,999"," ₹22,000 OFF","₹420,999",Zero downpayment,"₹8,876/month"
2017 Honda Jazz1.2 V AT Automatic,1.2 V AT Automatic,"48,106 km2nd OwnerPetrol","₹606,299"," ₹30,000 OFF","₹636,299",Zero downpayment,"₹13,487/month"
2012 Volkswagen PoloHIGHLINE1.2L DIESEL Manual,HIGHLINE1.2L DIESEL Manual,"67,595 km2nd OwnerDiesel","₹258,399"," ₹5,000 OFF","₹263,399",Zero downpayment,"₹5,748/month"
2009 Maruti A StarVXI Manual,VXI Manual,"94,540 km1st OwnerPetrol","₹186,799"," ₹10,000 OFF","₹196,799",Zero downpayment,"₹4,155/month"
2013 Skoda Rapid1.6 TDI MT AMBITION PLUS Manual,1.6 TDI MT AMBITION PLUS Manual,"79,565 km1st OwnerDiesel","₹372,999"," ₹20,000 OFF","₹392,999",Zero downpayment,"₹8,297/month"
2011 Honda CityS MT PETROL Manual,S MT PETROL Manual,"101,973 km2nd OwnerPetrol","₹306,899"," ₹17,000 OFF","₹323,899",Zero downpayment,"₹6,827/month"
,,,,,,,
,,,,,,,
2018 Tata TiagoXE 1.2 REVOTRON Manual,XE 1.2 REVOTRON Manual,"12,651 km1st OwnerPetrol","₹377,899"," ₹18,000 OFF","₹395,899",Zero downpayment,"₹8,406/month"
2019 Hyundai Verna1.6 SX VTVT Manual,1.6 SX VTVT Manual,"11,728 km1st OwnerPetrol","₹893,199"," ₹5,000 OFF","₹898,199",Zero downpayment,"₹19,869/month"
2015 Skoda OctaviaELEGANCE 1.8 TSI AT Automatic,ELEGANCE 1.8 TSI AT Automatic,"93,768 km1st OwnerPetrol","₹803,499",,,Zero downpayment,"₹17,873/month"
2016 Ford New Figo1.2 TITANIUM Manual,1.2 TITANIUM Manual,"21,454 km3rd OwnerPetrol","₹395,099"," ₹12,000 OFF","₹407,099",Zero downpayment,"₹8,789/month"
2015 Maruti CiazZDI+ SHVS Manual,ZDI+ SHVS Manual,"125,499 km1st OwnerDiesel","₹589,299"," ₹31,000 OFF","₹620,299",Zero downpayment,"₹13,109/month"
2014 Maruti SwiftVXI Manual,VXI Manual,"118,396 km1st OwnerPetrol","₹384,799"," ₹21,000 OFF","₹405,799",Zero downpayment,"₹8,560/month"
2017 Maruti DzireZXI AMT Automatic,ZXI AMT Automatic,"116,512 km1st OwnerPetrol","₹575,499"," ₹18,000 OFF","₹593,499",Zero downpayment,"₹12,802/month"
2016 Hyundai Creta1.6 SX PLUS AUTO PETROL Automatic,1.6 SX PLUS AUTO PETROL Automatic,"14,897 km1st OwnerPetrol","₹989,499"," ₹50,000 OFF","₹1,039,499",Zero downpayment,"₹22,011/month"
2014 Maruti CelerioVXI AMT Automatic,VXI AMT Automatic,"15,647 km1st OwnerPetrol","₹370,399"," ₹12,000 OFF","₹382,399",Zero downpayment,"₹8,239/month"
2015 Maruti Swift DzireVDI ABS Manual,VDI ABS Manual,"111,167 km2nd OwnerDiesel","₹500,099"," ₹11,000 OFF","₹511,099",Zero downpayment,"₹11,124/month"
2014 Hyundai VernaFLUIDIC 1.6 SX VTVT Manual,FLUIDIC 1.6 SX VTVT Manual,"43,443 km1st OwnerPetrol","₹540,299"," ₹10,000 OFF","₹550,299",Zero downpayment,"₹12,019/month"
2013 Honda Amaze1.2 EXMT I VTEC Manual,1.2 EXMT I VTEC Manual,"15,271 km1st OwnerPetrol","₹414,599"," ₹22,000 OFF","₹436,599",Zero downpayment,"₹9,223/month"
2016 Honda BR-V1.5 i-VTEC V CVT Automatic,1.5 i-VTEC V CVT Automatic,"35,112 km1st OwnerPetrol","₹781,999"," ₹42,000 OFF","₹823,999",Zero downpayment,"₹17,395/month"
2016 Maruti Vitara BrezzaZDI PLUS DUAL TONE Manual,ZDI PLUS DUAL TONE Manual,"96,919 km2nd OwnerDiesel","₹672,399"," ₹50,000 OFF","₹722,399",Zero downpayment,"₹14,957/month"
2015 Maruti Wagon R 1.0LXI Manual,LXI Manual,"57,492 km1st OwnerPetrol","₹328,999"," ₹30,000 OFF","₹358,999",Zero downpayment,"₹7,318/month"
2015 Hyundai Creta1.6 SX CRDI Manual,1.6 SX CRDI Manual,"102,938 km1st OwnerDiesel","₹774,299"," ₹35,000 OFF","₹809,299",Zero downpayment,"₹17,224/month"
2014 Maruti SwiftVDI Manual,VDI Manual,"89,794 km1st OwnerDiesel","₹465,699"," ₹25,000 OFF","₹490,699",Zero downpayment,"₹10,359/month"
2015 Maruti Alto K10VXI AMT Manual,VXI AMT Manual,"9,226 km1st OwnerPetrol","₹336,599"," ₹10,000 OFF","₹346,599",Zero downpayment,"₹7,487/month"
2014 Honda Mobilio1.5 S I DTEC Manual,1.5 S I DTEC Manual,"24,169 km1st OwnerDiesel","₹500,099"," ₹35,000 OFF","₹535,099",Zero downpayment,"₹11,124/month"
2017 Tata TiagoXZ 1.2 REVOTRON Manual,XZ 1.2 REVOTRON Manual,"26,102 km1st OwnerPetrol","₹463,199"," ₹26,000 OFF","₹489,199",Zero downpayment,"₹10,304/month"
,,,,,,,
,,,,,,,
2018 Maruti CiazALPHA 1.3 DDIS SHVS Manual,ALPHA 1.3 DDIS SHVS Manual,"50,685 km1st OwnerDiesel","₹772,199"," ₹50,000 OFF","₹822,199",Zero downpayment,"₹17,177/month"
2011 Honda Jazz1.2 SELECT I VTEC Manual,1.2 SELECT I VTEC Manual,"121,543 km1st OwnerPetrol","₹252,399"," ₹14,000 OFF","₹266,399",Zero downpayment,"₹5,614/month"
2017 Maruti Wagon R 1.0VXI Manual,VXI Manual,"33,826 km1st OwnerPetrol","₹405,399"," ₹5,000 OFF","₹410,399",Zero downpayment,"₹9,018/month"
2018 Volkswagen PoloHIGH LINE PLUS 1.0 Manual,HIGH LINE PLUS 1.0 Manual,"9,207 km1st OwnerPetrol","₹655,599"," ₹19,000 OFF","₹674,599",Zero downpayment,"₹14,583/month"
2018 Maruti CelerioZXI Manual,ZXI Manual,"10,199 km1st OwnerPetrol","₹456,199"," ₹38,000 OFF","₹494,199",Zero downpayment,"₹10,148/month"
2018 Maruti S CrossALPHA SHVS Manual,ALPHA SHVS Manual,"28,912 km1st OwnerDiesel","₹928,799"," ₹41,000 OFF","₹969,799",Zero downpayment,"₹20,661/month"
2018 Maruti S CrossZETA 1.3 SHVS Manual,ZETA 1.3 SHVS Manual,"19,001 km1st OwnerDiesel","₹814,699"," ₹10,000 OFF","₹824,699",Zero downpayment,"₹18,123/month"
2014 Hyundai EonSPORTZ Manual,SPORTZ Manual,"63,171 km1st OwnerPetrol","₹240,399"," ₹50,000 OFF","₹290,399",Zero downpayment,"₹5,348/month"
2018 Honda WR-V1.5 i-DTEC VX MT Manual,1.5 i-DTEC VX MT Manual,"37,639 km1st OwnerDiesel","₹756,599"," ₹50,000 OFF","₹806,599",Zero downpayment,"₹16,830/month"
2017 Hyundai XcentE PLUS Manual,E PLUS Manual,"45,922 km1st OwnerPetrol","₹462,099"," ₹50,000 OFF","₹512,099",Zero downpayment,"₹10,279/month"
2018 Maruti BalenoALPHA 1.2 K12 AMT Automatic,ALPHA 1.2 K12 AMT Automatic,"28,661 km1st OwnerPetrol","₹704,099"," ₹50,000 OFF","₹754,099",Zero downpayment,"₹15,662/month"
2018 Honda Amaze1.2 V CVT I VTEC Manual,1.2 V CVT I VTEC Manual,"48,214 km1st OwnerPetrol","₹636,899"," ₹31,000 OFF","₹667,899",Zero downpayment,"₹14,167/month"
2019 Honda AmazeVX AT I DTEC Automatic,VX AT I DTEC Automatic,"23,810 km2nd OwnerDiesel","₹775,499"," ₹50,000 OFF","₹825,499",Zero downpayment,"₹17,251/month"
2017 Hyundai XcentS 1.2 Manual,S 1.2 Manual,"31,123 km1st OwnerPetrol","₹448,199"," ₹24,000 OFF","₹472,199",Zero downpayment,"₹9,970/month"
2019 Honda CivicVX CVT i-VTEC Automatic,VX CVT i-VTEC Automatic,"15,611 km1st OwnerPetrol","₹1,527,199"," ₹5,000 OFF","₹1,532,199",Zero downpayment,"₹33,972/month"
2016 Volkswagen AmeoHIGHLINE 1.2 Manual,HIGHLINE 1.2 Manual,"32,750 km2nd OwnerPetrol","₹473,299"," ₹27,000 OFF","₹500,299",Zero downpayment,"₹10,528/month"
2017 Hyundai Creta1.6 CRDI SX PLUS AUTO Automatic,1.6 CRDI SX PLUS AUTO Automatic,"79,362 km1st OwnerDiesel","₹1,103,399"," ₹50,000 OFF","₹1,153,399",Zero downpayment,"₹24,545/month"
2014 Maruti CelerioVXI Manual,VXI Manual,"64,208 km1st OwnerPetrol","₹384,899"," ₹28,000 OFF","₹412,899",Zero downpayment,"₹8,562/month"
2016 Hyundai Grand i10ASTA AT 1.2 KAPPA VTVT Manual,ASTA AT 1.2 KAPPA VTVT Manual,"29,826 km1st OwnerPetrol","₹419,999"," ₹50,000 OFF","₹469,999",Zero downpayment,"₹9,343/month"
2016 Hyundai Grand i10SPORTZ 1.2 KAPPA VTVT Manual,SPORTZ 1.2 KAPPA VTVT Manual,"33,565 km2nd OwnerPetrol","₹414,099"," ₹22,000 OFF","₹436,099",Zero downpayment,"₹9,211/month"
,,,,,,,
,,,,,,,
2017 Datsun Redi GoT (O) Manual,T (O) Manual,"17,774 km1st OwnerPetrol","₹256,799"," ₹14,000 OFF","₹270,799",Zero downpayment,"₹5,712/month"
2014 Maruti CelerioVXI Manual,VXI Manual,"48,309 km1st OwnerPetrol","₹359,699"," ₹32,000 OFF","₹391,699",Zero downpayment,"₹8,001/month"
2019 Maruti New  Wagon-RZXI 1.2 Manual,ZXI 1.2 Manual,"10,067 km1st OwnerPetrol","₹516,499"," ₹16,000 OFF","₹532,499",Zero downpayment,"₹11,489/month"
2016 Hyundai Elite i20MAGNA 1.2 Manual,MAGNA 1.2 Manual,"28,761 km1st OwnerPetrol","₹507,999"," ₹50,000 OFF","₹557,999",Zero downpayment,"₹11,300/month"
2012 Honda Jazz1.2 SELECT I VTEC Manual,1.2 SELECT I VTEC Manual,"65,710 km2nd OwnerPetrol","₹323,899"," ₹17,000 OFF","₹340,899",Zero downpayment,"₹7,205/month"
2018 Hyundai Verna1.6 SX (O) CRDI MT Manual,1.6 SX (O) CRDI MT Manual,"35,363 km1st OwnerDiesel","₹1,030,799"," ₹50,000 OFF","₹1,080,799",Zero downpayment,"₹22,930/month"
2014 Honda CityS MT PETROL Manual,S MT PETROL Manual,"146,906 km1st OwnerPetrol","₹451,899"," ₹10,000 OFF","₹461,899",Zero downpayment,"₹10,052/month"
2014 Ford Ecosport1.0 ECOBOOST TITANIUM OPT Manual,1.0 ECOBOOST TITANIUM OPT Manual,"44,165 km1st OwnerPetrol","₹466,999"," ₹25,000 OFF","₹491,999",Zero downpayment,"₹10,388/month"
2020 Maruti BalenoZETA 1.2 K12 Manual,ZETA 1.2 K12 Manual,"20,524 km2nd OwnerPetrol","₹631,099"," ₹50,000 OFF","₹681,099",Zero downpayment,"₹14,038/month"
2013 Hyundai EonMAGNA PLUS Manual,MAGNA PLUS Manual,"13,809 km1st OwnerPetrol","₹219,699"," ₹12,000 OFF","₹231,699",Zero downpayment,"₹4,887/month"
2014 Ford Ecosport1.5 TREND TI VCT Manual,1.5 TREND TI VCT Manual,"41,955 km1st OwnerPetrol","₹451,099"," ₹34,000 OFF","₹485,099",Zero downpayment,"₹10,034/month"
2019 KIA SELTOSHTX+ AT 1.5 DIESEL Automatic,HTX+ AT 1.5 DIESEL Automatic,"34,292 km1st OwnerDiesel","₹1,612,099"," ₹49,000 OFF","₹1,661,099",Zero downpayment,"₹35,860/month"
2018 Tata TiagoXZ 1.2 REVOTRON Manual,XZ 1.2 REVOTRON Manual,"25,032 km1st OwnerPetrol","₹451,199"," ₹24,000 OFF","₹475,199",Zero downpayment,"₹10,037/month"
2018 Maruti BalenoZETA 1.2 K12 Manual,ZETA 1.2 K12 Manual,"19,481 km1st OwnerPetrol","₹634,199"," ₹18,000 OFF","₹652,199",Zero downpayment,"₹14,107/month"
2013 Maruti RitzVXI BS IV Manual,VXI BS IV Manual,"21,445 km2nd OwnerPetrol","₹323,899"," ₹17,000 OFF","₹340,899",Zero downpayment,"₹7,205/month"
2016 Maruti CelerioVDI Manual,VDI Manual,"84,347 km1st OwnerDiesel","₹382,899"," ₹21,000 OFF","₹403,899",Zero downpayment,"₹8,517/month"
2018 Hyundai Creta1.6 SX VTVT Manual,1.6 SX VTVT Manual,"15,061 km1st OwnerPetrol","₹1,019,299"," ₹33,000 OFF","₹1,052,299",Zero downpayment,"₹22,674/month"
2018 Maruti IGNISDELTA 1.2 K12 Manual,DELTA 1.2 K12 Manual,"12,811 km2nd OwnerPetrol","₹441,499"," ₹33,000 OFF","₹474,499",Zero downpayment,"₹9,821/month"
2019 Tata NEXONXZA + 1.2 PETROL A/T Automatic,XZA + 1.2 PETROL A/T Automatic,"15,672 km1st OwnerPetrol","₹862,599"," ₹6,000 OFF","₹868,599",Zero downpayment,"₹19,188/month"
2017 Mahindra TUV300T10 MT Manual,T10 MT Manual,"57,820 km2nd OwnerDiesel","₹685,299"," ₹38,000 OFF","₹723,299",Zero downpayment,"₹15,244/month"
,,,,,,,
,,,,,,,
2017 Maruti Vitara BrezzaVDI OPT Manual,VDI OPT Manual,"38,464 km1st OwnerDiesel","₹732,399"," ₹34,000 OFF","₹766,399",Zero downpayment,"₹16,292/month"
2018 Tata HexaVaricor 400 XTA Automatic,Varicor 400 XTA Automatic,"39,905 km1st OwnerDiesel","₹1,355,199"," ₹5,000 OFF","₹1,360,199",Zero downpayment,"₹30,146/month"
2018 Ford Ecosport1.5 TITANIUM PLUS TI VCT AT Manual,1.5 TITANIUM PLUS TI VCT AT Manual,"29,751 km1st OwnerPetrol","₹834,499"," ₹21,000 OFF","₹855,499",Zero downpayment,"₹18,563/month"
2015 Maruti SwiftVXI Manual,VXI Manual,"44,747 km1st OwnerPetrol","₹427,899"," ₹22,000 OFF","₹449,899",Zero downpayment,"₹9,518/month"
2015 Volkswagen JettaHIGHLINE TDI AT Automatic,HIGHLINE TDI AT Automatic,"99,881 km1st OwnerDiesel","₹967,499"," ₹23,000 OFF","₹990,499",Zero downpayment,"₹21,521/month"
2019 Maruti ErtigaZDI PLUS SHVS Manual,ZDI PLUS SHVS Manual,"24,585 km1st OwnerDiesel","₹1,206,899"," ₹38,000 OFF","₹1,244,899",Zero downpayment,"₹26,847/month"
2018 Tata HexaVaricor 400 XTA Automatic,Varicor 400 XTA Automatic,"63,249 km1st OwnerDiesel","₹1,246,199"," ₹24,000 OFF","₹1,270,199",Zero downpayment,"₹27,721/month"
2017 Ford Ecosport1.5 TITANIUM TI VCT Manual,1.5 TITANIUM TI VCT Manual,"10,720 km1st OwnerPetrol","₹683,699"," ₹33,000 OFF","₹716,699",Zero downpayment,"₹15,209/month"
2017 Hyundai Elite i20ASTA 1.2 Manual,ASTA 1.2 Manual,"11,775 km1st OwnerPetrol","₹654,999"," ₹5,000 OFF","₹659,999",Zero downpayment,"₹14,570/month"
2014 Hyundai Grand i10MAGNA 1.2 KAPPA VTVT Manual,MAGNA 1.2 KAPPA VTVT Manual,"52,072 km1st OwnerPetrol","₹402,899"," ₹8,000 OFF","₹410,899",Zero downpayment,"₹8,962/month"
2018 Maruti BalenoDELTA 1.2 K12 Manual,DELTA 1.2 K12 Manual,"9,439 km1st OwnerPetrol","₹603,999"," ₹11,000 OFF","₹614,999",Zero downpayment,"₹13,436/month"
2016 Hyundai Grand i10SPORTZ 1.2 KAPPA VTVT Manual,SPORTZ 1.2 KAPPA VTVT Manual,"6,353 km1st OwnerPetrol","₹451,699"," ₹39,000 OFF","₹490,699",Zero downpayment,"₹10,048/month"
2016 Maruti CelerioZXI Manual,ZXI Manual,"39,682 km1st OwnerPetrol","₹419,599"," ₹18,000 OFF","₹437,599",Zero downpayment,"₹9,334/month"
2010 Hyundai i20MAGNA O 1.2 Manual,MAGNA O 1.2 Manual,"87,846 km2nd OwnerPetrol + CNG","₹163,299"," ₹39,880 OFF","₹203,179",Zero downpayment,"₹3,632/month"
2017 Tata TiagoXZ 1.2 REVOTRON Manual,XZ 1.2 REVOTRON Manual,"16,358 km1st OwnerPetrol","₹397,099"," ₹5,000 OFF","₹402,099",Zero downpayment,"₹8,833/month"
2012 Maruti SwiftZXI Manual,ZXI Manual,"78,889 km1st OwnerPetrol","₹378,499"," ₹13,000 OFF","₹391,499",Zero downpayment,"₹8,420/month"
2014 Hyundai XcentS 1.2 Manual,S 1.2 Manual,"35,256 km1st OwnerPetrol","₹381,699"," ₹31,000 OFF","₹412,699",Zero downpayment,"₹8,491/month"
2016 Maruti ErtigaVDI SHVS Manual,VDI SHVS Manual,"78,094 km1st OwnerDiesel","₹763,199"," ₹18,000 OFF","₹781,199",Zero downpayment,"₹16,977/month"
2018 Datsun Redi GoA Manual,A Manual,"4,190 km1st OwnerPetrol","₹266,799"," ₹14,000 OFF","₹280,799",Zero downpayment,"₹5,935/month"
2014 Maruti Wagon R 1.0VXI Manual,VXI Manual,"73,032 km1st OwnerPetrol","₹320,099"," ₹17,000 OFF","₹337,099",Zero downpayment,"₹7,120/month"
,,,,,,,
,,,,,,,
2016 Ford Ecosport1.5TITANIUM TDCI Manual,1.5TITANIUM TDCI Manual,"51,849 km1st OwnerDiesel","₹612,399"," ₹35,000 OFF","₹647,399",Zero downpayment,"₹13,622/month"
2017 Maruti SwiftZXI Manual,ZXI Manual,"14,505 km1st OwnerPetrol","₹543,299"," ₹38,000 OFF","₹581,299",Zero downpayment,"₹12,085/month"
2017 Maruti ErtigaVDI SHVS Manual,VDI SHVS Manual,"93,844 km1st OwnerDiesel","₹757,699"," ₹32,000 OFF","₹789,699",Zero downpayment,"₹16,855/month"
2016 Maruti BalenoDELTA DDIS 190 Manual,DELTA DDIS 190 Manual,"96,899 km1st OwnerDiesel","₹568,999"," ₹5,000 OFF","₹573,999",Zero downpayment,"₹12,657/month"
2017 Maruti CelerioVXI Manual,VXI Manual,"10,142 km1st OwnerPetrol","₹409,799"," ₹22,000 OFF","₹431,799",Zero downpayment,"₹9,116/month"
2014 Hyundai Elite i20ASTA 1.2 Manual,ASTA 1.2 Manual,"80,954 km1st OwnerPetrol","₹516,499"," ₹8,000 OFF","₹524,499",Zero downpayment,"₹11,489/month"
2020 Maruti New  Wagon-RLXI CNG 1.0 L Manual,LXI CNG 1.0 L Manual,"9,595 km1st OwnerPetrol + CNG","₹589,399"," ₹31,000 OFF","₹620,399",Zero downpayment,"₹13,111/month"
2015 Maruti Alto 800LXI CNG Manual,LXI CNG Manual,"61,386 km3rd OwnerPetrol + CNG","₹236,499"," ₹13,000 OFF","₹249,499",Zero downpayment,"₹5,261/month"
2017 Maruti BalenoDELTA 1.2 K12 Manual,DELTA 1.2 K12 Manual,"10,530 km1st OwnerPetrol","₹622,199"," ₹5,000 OFF","₹627,199",Zero downpayment,"₹13,840/month"
2019 Hyundai GRAND I10 NIOSSPORTZ 1.2 AT Automatic,SPORTZ 1.2 AT Automatic,"2,047 km1st OwnerPetrol","₹719,399"," ₹11,000 OFF","₹730,399",Zero downpayment,"₹16,003/month"
2019 Renault KwidRXT Opt Manual,RXT Opt Manual,"4,523 km1st OwnerPetrol","₹381,799"," ₹29,000 OFF","₹410,799",Zero downpayment,"₹8,493/month"
2015 Hyundai EonERA PLUS Manual,ERA PLUS Manual,"20,419 km1st OwnerPetrol","₹311,699"," ₹17,000 OFF","₹328,699",Zero downpayment,"₹6,934/month"
2015 Hyundai Grand i10ASTA 1.2 VTVT Manual,ASTA 1.2 VTVT Manual,"80,058 km1st OwnerPetrol","₹387,099"," ₹19,000 OFF","₹406,099",Zero downpayment,"₹8,611/month"
2019 Maruti DzireVXI Manual,VXI Manual,"19,015 km1st OwnerPetrol","₹653,799"," ₹16,000 OFF","₹669,799",Zero downpayment,"₹14,543/month"
2016 Maruti BalenoDELTA 1.2 K12 AT Automatic,DELTA 1.2 K12 AT Automatic,"26,581 km1st OwnerPetrol","₹591,099"," ₹34,000 OFF","₹625,099",Zero downpayment,"₹13,149/month"
